Old Name,New Name
RT-60-TAIWAN-SAME-SEX-MARRIAGE-101116.zip,EN-RT-TAIWAN_SAMESEXMARRIAGE-101116.zip
RT-60-UK-TRUCKPHONE-011116.zip,EN-RT-UK_TRUCKPHONE-011116.zip
RT-60-US-ALQAEDAVIDEOS-051016.zip,EN-RT-US_ALQAEDAVIDEOS-051016.zip
RT-60-US-BEARHUGS-171016.zip,EN-RT-US_BEARHUGS-171016.zip
RT-60-US-CARRIEFISHER-281216.zip,EN-RT-US_CARRIEFISHER-281216.zip
RT-60-US-CLINTON-FIRST-APPEARANCE-SINCE-DEFEAT-171116.zip,EN-RT-US_CLINTONFIRSTAPPEARANCESINCEDEFEAT-171116.zip
RT-60-US-COLDAYVIDEO-310116.zip,EN-RT-US_COLDAYVIDEO-310116.zip
RT-60-US-EPAPICK-5THINGS-081216.zip,EN-RT-US_EPAPICK5THINGS-081216.zip
RT-60-US-HARVARDSOCCER-061116.zip,EN-RT-US_HARVARDSOCCER-061116.zip
RT-60-US-KEITHSCOTTFULL-051016.zip,EN-RT-US_KEITHSCOTTFULL-051016.zip
RT-60-US-KKKSERIES-261216.zip,EN-RT-US_KKKSERIES-261216.zip
RT-60-US-LOUISIANAFLOODS-150816.zip,EN-RT-US_LOUISIANAFLOODS-150816.zip
RT-60-US-POTPROTEST-030416.zip,EN-RT-US_POTPROTEST-030416.zip
RT-60-US-SQUIRREL-WHISPERER-291116.zip,EN-RT-US_SQUIRRELWHISPERER-291116.zip
RT-60-US-TILLERSON5THINGS-121216.zip,EN-RT-US_TILLERSON5THINGS-121216.zip
RT-60-US-VICTORIASECRETSHOP-121216.zip,EN-RT-US_VICTORIASECRETSHOP-121216.zip
RT-60-VENEZUELA-MADUROPOTSPANS-040916.zip,EN-RT-VENEZUELA_MADUROPOTSPANS-040916.zip
RT-60-YEMEN-WARCYCLING-151116 v2.zip,EN-RT-YEMEN_WARCYCLING-151116.zip
RT-INDIA-BABYSWAP-271016.zip,EN-RT-INDIA_BABYSWAP-271016.zip
RT-RAW-PAKISTAN-LAWYER.zip,EN-RT-PAKISTAN_RAWLAWYER-010116.zip
RT-SHORT-MEXICO-FIRSTPERSONEXPLOSION-211216.zip,EN-RT-MEXICO_FIRSTPERSONEXPLOSION-211216.zip
RT-SHORT-US-BILLSPEECH-270716.zip,EN-RT-US_BILLSPEECH-270716.zip
RT-SHORT-US-HATEMAIL-011216.zip,EN-RT-US_HATEMAIL-011216.zip
RT-SHORT-WHITEHELMETS-280916.zip,EN-RT-WHITEHELMETS-280916.zip
RT-SQ-CHILE-EARTHQUAKE-261216.zip,EN-RT-CHILE_SQEARTHQUAKE-261216.zip
RT-SQ-CHINA-HKPLANES-281116.zip,EN-RT-CHINA_SQHKPLANES-281116.zip
RT-SQ-INDIA-SOCCERKID-230816.zip,EN-RT-INDIA_SQSOCCERKID-230816.zip
RT-SQ-MEXICO-BORDERHUGS2-311016.zip,EN-RT-MEXICO_SQBORDERHUGS2-311016.zip
RT-SQ-NORWAY-LIGHTNINGDEER-300816.zip,EN-RT-NORWAY_SQLIGHTNINGDEER-300816.zip
RT-SQ-TURKEY-CATTV-201016.zip,EN-RT-TURKEY_SQCATTV-201016.zip
RT-SQ-US-DAPLTRUCKATTACK-121016.zip,EN-RT-US_SQDAPLTRUCKATTACK-121016.zip
RT-SQ-US-OBAMADRUGS-121016.zip,EN-RT-US_SQOBAMADRUGS-121016.zip
